uid,count,oneMeans,bestMeans,diff,logCount
130532,32,1,1,0,3.49650756146648
130533,20,1,1,0,3.04452243772342
130535,49,0.857142857142857,0.714285714285714,-0.142857142857143,3.91202300542815
130537,22,1,1,0,3.13549421592915
130538,104,0.666666666666667,0.666666666666667,0,4.65396035015752
130540,10,1,1,0,2.39789527279837
130546,40,0.8,0.8,0,3.71357206670431
130547,48,1,1,0,3.89182029811063
130550,87,0.785714285714286,0.785714285714286,0,4.47733681447821
130553,65,1,1,0,4.18965474202643
130557,28,0.666666666666667,0.666666666666667,0,3.36729582998647
130563,70,0.894736842105263,0.894736842105263,0,4.26267987704132
130566,39,0.5,0.5,0,3.68887945411394
130569,48,1,1,0,3.89182029811063
130570,71,0.833333333333333,0.916666666666667,0.0833333333333333,4.27666611901606
130572,39,1,1,0,3.68887945411394
130573,52,0.75,0.75,0,3.97029191355212
130574,44,0,0,0,3.80666248977032
130575,79,0.4,0.4,0,4.38202663467388
130576,29,0.666666666666667,0.666666666666667,0,3.40119738166216
130578,47,1,1,0,3.87120101090789
130580,568,0.73015873015873,0.73015873015873,0,6.34388043412633
130582,32,1,1,0,3.49650756146648
130585,32,1,1,0,3.49650756146648
130586,40,0.5,0.5,0,3.71357206670431
130587,55,0.8,0.8,0,4.02535169073515
130589,45,0.666666666666667,0.666666666666667,0,3.8286413964891
130591,37,0.888888888888889,0.888888888888889,0,3.63758615972639
130595,25,0.666666666666667,0.666666666666667,0,3.25809653802148
130596,57,0.857142857142857,0.857142857142857,0,4.06044301054642
130599,165,0.6,0.7,0.1,5.11198778835654
130600,45,1,1,0,3.8286413964891
130602,32,0.666666666666667,0.666666666666667,0,3.49650756146648
130604,55,1,1,0,4.02535169073515
130607,188,1,1,0,5.24174701505964
130608,104,0.833333333333333,0.833333333333333,0,4.65396035015752
130614,72,0.769230769230769,0.769230769230769,0,4.29045944114839
130618,27,1,1,0,3.3322045101752
130620,89,0.333333333333333,0.333333333333333,0,4.49980967033027
130623,47,0.8,0.8,0,3.87120101090789
130624,45,0.625,0.625,0,3.8286413964891
130625,82,0.888888888888889,0.888888888888889,0,4.4188406077966
130626,14,1,1,0,2.70805020110221
130629,48,0.5,0.666666666666667,0.166666666666667,3.89182029811063
130631,89,0.75,0.85,0.1,4.49980967033027
130632,45,0.5,0.5,0,3.8286413964891
130635,661,0.635294117647059,0.717647058823529,0.0823529411764706,6.49526555593701
130642,89,0.5,0.5,0,4.49980967033027
130643,32,1,1,0,3.49650756146648
130650,43,0.5,0.5,0,3.78418963391826
130651,325,0.666666666666667,0.777777777777778,0.111111111111111,5.78689738136671
130652,41,1,1,0,3.73766961828337
130656,227,0.666666666666667,0.666666666666667,0,5.42934562895444
130657,32,0.75,1,0.25,3.49650756146648
130658,223,0.615384615384615,0.615384615384615,0,5.41164605185504
130659,38,0.666666666666667,0.666666666666667,0,3.66356164612965
130664,68,0.75,0.75,0,4.23410650459726
130665,47,0.833333333333333,0.833333333333333,0,3.87120101090789
130666,77,0.9,0.9,0,4.35670882668959
130668,50,1,1,0,3.93182563272433
130671,32,1,1,0,3.49650756146648
130673,47,1,1,0,3.87120101090789
130675,51,1,1,0,3.95124371858143
130677,40,0.875,0.875,0,3.71357206670431
130679,41,0.4,0.4,0,3.73766961828337
130680,42,1,1,0,3.76120011569356
130681,22,0.75,0.75,0,3.13549421592915
130683,84,0.75,0.75,0,4.44265125649032
130688,33,0.666666666666667,0.666666666666667,0,3.52636052461616
130691,65,0.714285714285714,0.714285714285714,0,4.18965474202643
130693,78,1,1,0,4.36944785246702
130696,40,1,1,0,3.71357206670431
